Speaker,Line,NLTK
BRONN,Oil?,['oil']
GUARD,"Pitch, my lord.","['pitch', 'lord']"
BRONN,How many barrels?,"['mani', 'barrel']"
GUARD,"500, my lord.","['500', 'lord']"
BRONN,Get 500 more.,"['get', '500']"
GUARD,"Yes, my lord.","['ye', 'lord']"
BRONN,"I still enjoy it when they call me ""my lord.""","['still', 'enjoy', 'call', 'lord']"
JAIME,The thrill will fade.,"['thrill', 'fade']"
BRONN,If we live that long. Men without cocks. You wouldn't find me fighting in an army if I had no cock. What's left to fight for?,"['live', 'long', 'men', 'without', 'cock', 'wouldnt', 'find', 'fight', 'armi', 'cock', 'what', 'left', 'fight']"
JAIME,Gold?,['gold']
BRONN,I spent my life around soldiers. What do you think they spend that gold on?,"['spent', 'life', 'around', 'soldier', 'think', 'spend', 'gold']"
JAIME,Family.,['famili']
BRONN,"Not without a cock, you don't.","['without', 'cock', 'dont']"
JAIME,Maybe it really is all cocks in the end.,"['mayb', 'realli', 'cock', 'end']"
BRONN,"Yet, your brother has chosen to side with the cockless.","['yet', 'brother', 'chosen', 'side', 'cockless']"
JAIME,"Yes, he's always been a champion of the downtrodden.","['ye', 'he', 'alway', 'champion', 'downtrodden']"
SOUND EFFECT,(TRUMPET BLARES) - (DISTANT MEN SHRIEKING) - (HOOFBEATS THUNDERING) (SHRIEKING CONTINUES),"['trumpet', 'blare', 'distant', 'men', 'shriek', 'hoofbeat', 'thunder', 'shriek', 'continu']"
BRONN,I think we're about to be the downtrodden.,"['think', 'downtrodden']"
MAN,"Archers, stand tall!","['archer', 'stand', 'tall']"
SOUND EFFECT,(HORSES NEIGHING),"['hors', 'neigh']"
MAN #2,Cover that wall!,"['cover', 'wall']"
SOUND EFFECT,(SEAGULLS SCREECHING),"['seagul', 'screech']"
JON,How many people live here?,"['mani', 'peopl', 'live']"
TYRION,"A million, give or take.","['million', 'give', 'take']"
JON,That's more people than the entire North crammed into that. Why would anyone want to live that way?,"['that', 'peopl', 'entir', 'north', 'cram', 'would', 'anyon', 'want', 'live', 'way']"
TYRION,There's more work in the city. And the brothels are far superior.,"['there', 'work', 'citi', 'brothel', 'far', 'superior']"
SOUND EFFECT,(WIGHT SCREECHING) (SEAGULLS SCREECHING),"['wight', 'screech', 'seagul', 'screech']"
CERSEI,Why isn't she with them?,['isnt']
QYBURN,"I'm afraid I don't know, Your Grace. No one has seen her.","['im', 'afraid', 'dont', 'know', 'grace', 'one', 'seen']"
CERSEI,And the rest of them?,['rest']
QYBURN,They're on their way to the Dragonpit now.,"['theyr', 'way', 'dragonpit']"
CERSEI,Including our brother?,"['includ', 'brother']"
QYBURN,"Yes, Your Grace.","['ye', 'grace']"
CERSEI,"If anything goes wrong, kill the silver-haired bitch first, then our brother, then the bastard who calls himself king. The rest of them you can kill in any order you see fit. Come, Sir Gregor. It's time for us to meet our guests.","['anyth', 'goe', 'wrong', 'kill', 'silverhair', 'bitch', 'first', 'brother', 'bastard', 'call', 'king', 'rest', 'kill', 'order', 'see', 'fit', 'come', 'sir', 'gregor', 'time', 'us', 'meet', 'guest']"
SOUND EFFECT,(DONKEY BRAYING),"['donkey', 'bray']"
MISSANDEI,Why did they build it?,['build']
JORAH,"Dragons don't understand the difference between what is theirs and what isn't. Land, livestock, children Letting them roam free around a city was a problem.","['dragon', 'dont', 'understand', 'differ', 'isnt', 'land', 'livestock', 'children', 'let', 'roam', 'free', 'around', 'citi', 'problem']"
TYRION,"I imagine it was a sad joke at the end. An entire arena for a few sickly creatures smaller than dogs. But in the beginning, when it was home to Balerion the Dread, it must have been the most dangerous place in the world.","['imagin', 'sad', 'joke', 'end', 'entir', 'arena', 'sickli', 'creatur', 'smaller', 'dog', 'begin', 'home', 'balerion', 'dread', 'must', 'danger', 'place', 'world']"
DAVOS,Maybe it still is.,"['mayb', 'still']"
BRONN,"Welcome, my lords. Your friends arrived before you did. I've been sent to escort you all to the meeting.","['welcom', 'lord', 'friend', 'arriv', 'ive', 'sent', 'escort', 'meet']"
TYRION,A pleasant surprise in an unpleasant situation.,"['pleasant', 'surpris', 'unpleas', 'situat']"
PODRICK,"I never thought I'd see you again, my lord.","['never', 'thought', 'id', 'see', 'lord']"
TYRION,"Supporting the enemy, no less.","['support', 'enemi', 'less']"
PODRICK,Hard to blame you.,"['hard', 'blame']"
TYRION,Cersei will anyway.,"['cersei', 'anyway']"
PODRICK,I'm glad you're alive.,"['im', 'glad', 'your', 'aliv']"
BRONN,Come on! You can suck his magic cock later.,"['come', 'suck', 'magic', 'cock', 'later']"
MAN,What's in there?,['what']
HOUND,Fuck off.,['fuck']
BRIENNE,I thought you were dead.,"['thought', 'dead']"
HOUND,Not yet. You came pretty close.,"['yet', 'came', 'pretti', 'close']"
BRIENNE,I was only trying to protect her.,"['tri', 'protect']"
HOUND,You and me both.,[]
BRIENNE,She's alive. Arya.,"['she', 'aliv', 'arya']"
HOUND,Where?,[]
BRIENNE,Winterfell.,['winterfel']
HOUND,Who's protecting her if you're here?,"['who', 'protect', 'your']"
BRIENNE,The only one that needs protecting is the one that gets in her way.,"['one', 'need', 'protect', 'one', 'get', 'way']"
HOUND,It won't be me.,['wont']
TYRION,Here we are the heroes of Blackwater Bay. Strange place for a reunion.,"['hero', 'blackwat', 'bay', 'strang', 'place', 'reunion']"
PODRICK,"It is, my lord.",['lord']
